"","birth_year","height.cm","height.in","study_id"
"1",1850,169.619995117188,66.779525636688,"germanconscript"
"2",1850,156.470001220703,61.6023626853162,"germanconscript"
"3",1850,172.449996948242,67.8936995859221,"germanconscript"
"4",1850,168.220001220703,66.2283469372847,"germanconscript"
"5",1850,166.589996337891,65.586612731453,"germanconscript"
"6",1850,160.300003051758,63.1102374219519,"germanconscript"
"7",1850,160.529998779297,63.200786920983,"germanconscript"
"8",1850,162.330001831055,63.9094495397853,"germanconscript"
"9",1850,161.729995727539,63.6732266643855,"germanconscript"
"10",1850,170.25,67.0275590551181,"germanconscript"
"11",1850,174.679992675781,68.7716506597564,"germanconscript"
"12",1850,154.839996337891,60.9606284794845,"germanconscript"
"13",1850,168.419998168945,66.3070858932856,"germanconscript"
"14",1850,163.759994506836,64.4724387822189,"germanconscript"
"15",1850,163.160003662109,64.2362219142163,"germanconscript"
"16",1850,165.160003662109,65.0236234890194,"germanconscript"
"17",1850,162.529998779297,63.9881884957862,"germanconscript"
"18",1850,146.550003051758,57.6968515951802,"germanconscript"
"19",1850,156.869995117188,61.7598405973179,"germanconscript"
"20",1850,164.759994506836,64.8661395696204,"germanconscript"
"21",1850,161.130004882812,63.4370097963829,"germanconscript"
"22",1850,164.759994506836,64.8661395696204,"germanconscript"
"23",1850,179.369995117188,70.6181083138533,"germanconscript"
"24",1850,172.25,67.8149606299213,"germanconscript"
"25",1850,173.679992675781,68.3779498723548,"germanconscript"
"26",1850,170.649993896484,67.1850369671198,"germanconscript"
"27",1850,172.449996948242,67.8936995859221,"germanconscript"
"28",1850,162.960006713867,64.1574829582154,"germanconscript"
"29",1850,173.880004882812,68.456694835753,"germanconscript"
"30",1850,158.100006103516,62.2440968911479,"germanconscript"
"31",1850,174.479995727539,68.6929117037555,"germanconscript"
"32",1850,161.330001831055,63.5157487523837,"germanconscript"
"33",1850,175.940002441406,69.2677174966166,"germanconscript"
"34",1850,149.979995727539,59.047242412417,"germanconscript"
"35",1850,175.339996337891,69.0314946212168,"germanconscript"
"36",1850,158.5,62.4015748031496,"germanconscript"
"37",1850,163.559997558594,64.393699826218,"germanconscript"
"38",1850,155.039993286133,61.0393674354854,"germanconscript"
"39",1850,161.729995727539,63.6732266643855,"germanconscript"
"40",1850,165.589996337891,65.1929119440514,"germanconscript"
"41",1850,174.880004882812,68.8503956231545,"germanconscript"
"42",1850,164.360000610352,64.7086616576187,"germanconscript"
"43",1850,163.559997558594,64.393699826218,"germanconscript"
"44",1850,159.100006103516,62.6377976785495,"germanconscript"
"45",1850,166.789993286133,65.6653516874539,"germanconscript"
"46",1850,161.929992675781,63.7519656203863,"germanconscript"
"47",1850,175.940002441406,69.2677174966166,"germanconscript"
"48",1850,162.529998779297,63.9881884957862,"germanconscript"
"49",1850,169.220001220703,66.6220477246863,"germanconscript"
"50",1850,163.759994506836,64.4724387822189,"germanconscript"
"51",1850,176.139999389648,69.3464564526175,"germanconscript"
"52",1850,167.589996337891,65.9803135188546,"germanconscript"
"53",1850,161.529998779297,63.5944877083846,"germanconscript"
"54",1850,166.789993286133,65.6653516874539,"germanconscript"
"55",1850,156.470001220703,61.6023626853162,"germanconscript"
"56",1850,159.699996948242,62.874014546552,"germanconscript"
"57",1850,177.770004272461,69.9881906584492,"germanconscript"
"58",1850,164.360000610352,64.7086616576187,"germanconscript"
"59",1850,161.130004882812,63.4370097963829,"germanconscript"
"60",1850,171.25,67.4212598425197,"germanconscript"
"61",1850,163.160003662109,64.2362219142163,"germanconscript"
"62",1850,179.369995117188,70.6181083138533,"germanconscript"
"63",1850,166.389999389648,65.5078737754521,"germanconscript"
"64",1850,168.619995117188,66.3858248492864,"germanconscript"
"65",1850,175.740005493164,69.1889785406158,"germanconscript"
"66",1850,164.960006713867,64.9448845330186,"germanconscript"
"67",1850,161.330001831055,63.5157487523837,"germanconscript"
"68",1850,171.449996948242,67.4999987985206,"germanconscript"
"69",1850,171.850006103516,67.6574827179195,"germanconscript"
"70",1850,166.589996337891,65.586612731453,"germanconscript"
"71",1850,157.270004272461,61.9173245167169,"germanconscript"
"72",1850,155.669998168945,61.2874008539155,"germanconscript"
"73",1850,182,71.6535433070866,"germanconscript"
"74",1850,169.419998168945,66.7007866806871,"germanconscript"
"75",1850,169.020004272461,66.5433087686854,"germanconscript"
"76",1850,163.759994506836,64.4724387822189,"germanconscript"
"77",1850,177.770004272461,69.9881906584492,"germanconscript"
"78",1850,170.850006103516,67.263781930518,"germanconscript"
"79",1850,168.020004272461,66.1496079812838,"germanconscript"
"80",1850,169.419998168945,66.7007866806871,"germanconscript"
"81",1850,152.210006713867,59.9251994936485,"germanconscript"
"82",1850,163.360000610352,64.3149608702171,"germanconscript"
"83",1850,163.559997558594,64.393699826218,"germanconscript"
"84",1850,177.970001220703,70.06692961445,"germanconscript"
"85",1850,165.389999389648,65.1141729880506,"germanconscript"
"86",1850,169.419998168945,66.7007866806871,"germanconscript"
"87",1850,172.050003051758,67.7362216739204,"germanconscript"
"88",1850,157.470001220703,61.9960634727178,"germanconscript"
"89",1850,182.429992675781,71.8228317621186,"germanconscript"
"90",1850,156.070007324219,61.4448847733145,"germanconscript"
"91",1850,175.139999389648,68.9527556652159,"germanconscript"
"92",1850,165.789993286133,65.2716509000523,"germanconscript"
"93",1850,168.419998168945,66.3070858932856,"germanconscript"
"94",1850,166.589996337891,65.586612731453,"germanconscript"
"95",1850,157.270004272461,61.9173245167169,"germanconscript"
"96",1850,158.5,62.4015748031496,"germanconscript"
