"","Code","Continent, Region, Country","century","decade","year","heights.cm","year_decade","height.in"
"81",528,"Netherlands","18","3","0",164.2,"1830",64.6456692913386
"82",528,"Netherlands","18","4","0",164.5,"1840",64.7637795275591
"83",528,"Netherlands","18","5","0",165.3,"1850",65.0787401574803
"84",528,"Netherlands","18","6","0",166.5,"1860",65.5511811023622
"85",528,"Netherlands","18","7","0",167.1,"1870",65.7874015748031
"86",528,"Netherlands","18","8","0",168.5,"1880",66.3385826771653
"87",528,"Netherlands","18","9","0",169.4,"1890",66.6929133858268
"88",528,"Netherlands","19","0","0",170.9,"1900",67.2834645669291
"89",528,"Netherlands","19","1","0",172.6,"1910",67.9527559055118
"90",528,"Netherlands","19","2","0",173.5,"1920",68.3070866141732
"91",528,"Netherlands","19","3","0",174.1,"1930",68.5433070866142
"92",528,"Netherlands","19","4","0",177.5,"1940",69.8818897637795
"93",528,"Netherlands","19","5","0",178.7,"1950",70.3543307086614
"94",528,"Netherlands","19","6","0",182.2,"1960",71.7322834645669
"95",528,"Netherlands","19","7","0",182.3,"1970",71.7716535433071
"96",528,"Netherlands","19","8","0",182.7,"1980",71.9291338582677
"97",756,"Switzerland","18","2","0",167.6,"1820",65.9842519685039
"98",756,"Switzerland","18","3","0",166.3,"1830",65.4724409448819
"99",756,"Switzerland","18","7","0",164.7,"1870",64.8425196850394
"100",756,"Switzerland","18","8","0",166.8,"1880",65.6692913385827
"101",756,"Switzerland","18","9","0",170.5,"1890",67.1259842519685
"102",756,"Switzerland","19","0","0",170.462,"1900",67.1110236220472
"103",756,"Switzerland","19","1","0",171.506,"1910",67.5220472440945
"104",756,"Switzerland","19","2","0",170.9,"1920",67.2834645669291
"105",756,"Switzerland","19","3","0",171.3,"1930",67.4409448818898
"106",208,"Denmark","18","2","0",166.95,"1820",65.7283464566929
"107",208,"Denmark","18","3","0",165.4,"1830",65.1181102362205
"108",208,"Denmark","18","5","0",167.4,"1850",65.9055118110236
"109",208,"Denmark","18","6","0",168.1,"1860",66.1811023622047
"110",208,"Denmark","18","7","0",168.1,"1870",66.1811023622047
"111",208,"Denmark","18","8","0",169.5,"1880",66.7322834645669
"112",208,"Denmark","18","9","0",169.2,"1890",66.6141732283464
"113",208,"Denmark","19","0","0",170.5,"1900",67.1259842519685
"114",208,"Denmark","19","1","0",170,"1910",66.9291338582677
"115",208,"Denmark","19","2","0",173.5,"1920",68.3070866141732
"116",208,"Denmark","19","3","0",173.9,"1930",68.4645669291339
"117",208,"Denmark","19","4","0",175.9,"1940",69.251968503937
"118",208,"Denmark","19","5","0",179.8,"1950",70.7874015748032
"119",208,"Denmark","19","6","0",180.2,"1960",70.9448818897638
"120",208,"Denmark","19","7","0",180.8,"1970",71.1811023622047
"121",208,"Denmark","19","8","0",183.2,"1980",72.1259842519685
"122",233,"Estonia","18","4","0",166.7,"1840",65.6299212598425
"123",233,"Estonia","18","7","0",167.6,"1870",65.9842519685039
"124",233,"Estonia","18","9","0",173.4,"1890",68.2677165354331
"125",233,"Estonia","19","0","0",175.3,"1900",69.0157480314961
"126",233,"Estonia","19","1","0",172,"1910",67.7165354330709
